geoid,county_state,year,population,median_income,median_monthly_rent_cost,median_monthly_home_cost,prop_female,prop_male,prop_white,prop_black,prop_native,prop_asian,prop_hawaiin_islander,prop_other_race,prop_multi_racial,prop_highschool,prop_GED,prop_some_college,prop_college_no_degree,prop_associates,prop_bachelors,prop_masters,prop_professional,prop_doctoral,prop_poverty
01,Alabama,2008,4661900,42666,631,742,0.5154499238507905,0.48455007614920953,0.7028359681674854,0.26183380166884745,0.00514082241146313,0.00976833479911624,2.417469272185161e-4,0.00717711662626825,0.01300220939960102,0.26042269300720905,0.05599384635174479,0.05957806060680871,0.1546490676137949,0.06831511070817305,0.14279264017951607,0.05542473783489941,0.01338379515471663,0.00833393156859885,0.15695140822184195
02,Alaska,2008,686293,68460,949,1393,0.4789994943850513,0.5210005056149487,0.69112900758131,0.03625710884418171,0.12725905699169304,0.04637377912932231,0.00548453794516336,0.0124626070789007,0.08103390242942883,0.21830967684237035,0.04658967618339331,0.08116478897437285,0.21686228086071815,0.08030576534298578,0.17587155596244772,0.06465035384713146,0.01743700297245711,0.01512587638061572,0.08420040520586518
04,Arizona,2008,6500180,50958,866,1177,0.4986763443473873,0.5013236556526127,0.8005912143971398,0.03626945715349421,0.04411400915051583,0.02375564984354279,0.00143688328630899,0.06808688374783467,0.02574590242116372,0.21063472872218247,0.0393591294265753,0.07719126344916348,0.1816943256688595,0.07837908555348336,0.15909279013449343,0.06474226764780454,0.01623786209194554,0.01092796335974289,0.14718370420672222
05,Arkansas,2008,2855390,38815,606,660,0.510203509853295,0.489796490146705,0.7871509671183271,0.15501770336101198,0.00524166576194495,0.01031943097090064,6.710116656568805e-4,0.02181138128241676,0.01978783983974168,0.29580086436773756,0.05826953450796502,0.06878793088902582,0.15348828020294594,0.05581120175308386,0.1251352243201941,0.0433444004583477,0.01218807633860063,0.00725272237392501,0.17322446643154377
06,California,2008,36756666,61021,1135,1919,0.4998588011219516,0.5001411988780484,0.6247026865820746,0.06150179670811275,0.00855300641249671,0.12375281806026694,0.0035960824085623,0.1422402673844249,0.03565334244406171,0.18642537663722888,0.02197354388784042,0.05841287808016125,0.16353103362920743,0.07605150456833669,0.1883724215712059,0.07033001202457821,0.02292417919460657,0.01427551023704212,0.13278281422639623
08,Colorado,2008,4939456,56993,848,1364,0.4963327945425569,0.503667205457443,0.8473945308957099,0.03797098303942782,0.00968426482592415,0.0255378325062517,0.00110619469026548,0.04750644605397841,0.030799747988442448,0.190171944691829,0.03873613020552088,0.0632045224279549,0.16437901506147976,0.07616212681112562,0.22938646520131928,0.09185216421812148,0.02118371107064424,0.01352548217513436,0.11434179467039585
09,Connecticut,2008,3501252,68595,970,1722,0.511804063232238,0.4881959367677619,0.8013544869092541,0.09458016732300333,0.00231945601173523,0.03464332187457515,2.878970151248753e-4,0.04564709995167443,0.02116757091463282,0.24766052944677047,0.03223002668423904,0.05493891047604869,0.12090341523577422,0.0745910975558692,0.2038542209018503,0.10854508934292652,0.02838113501700491,0.01530970677789822,0.09284491390331984
10,Delaware,2008,873092,57989,917,1209,0.5159055403096122,0.4840944596903877,0.7272784540460799,0.20577900152561243,0.00303748058623833,0.02895456607092952,1.5462288052118218e-4,0.01785493395884969,0.01694094093176893,0.2789961001081107,0.03427229804867904,0.06962054687862554,0.14221972427472152,0.07212995285410555,0.16648705507458608,0.07670704060253243,0.01797662814900371,0.01379485778027572,0.10001269345769788
11,District of Columbia,2008,591833,57936,1011,1826,0.5271656024588017,0.4728343975411982,0.37495543506360746,0.5344041308950329,0.00373754082655073,0.03394707628672278,9.529715308203496e-4,0.03203268489590814,0.01997016050135764,0.16989706960432724,0.02840740227061084,0.03190445998692318,0.11545739137326386,0.02969527055140575,0.21570060034475244,0.15004408472191952,0.07408214618295655,0.04252689663371045,0.17222544556252825
12,Florida,2008,18328340,47778,947,1152,0.509136943116507,0.490863056883493,0.7756022640348226,0.15360741889336404,0.0025930335207662,0.02293677441601367,4.124759798214132e-4,0.02624231108763805,0.018605722067574042,0.2571230069549677,0.04233928311011565,0.06482607226224332,0.14616763358807475,0.08359898867758601,0.16807597076148093,0.06075714371657522,0.01952696707532601,0.00979730400116162,0.1322738443192096
13,Georgia,2008,9685744,50861,787,1106,0.5077634717580808,0.49223652824191927,0.6193449878501848,0.29982570259961444,0.00234922583128358,0.02863208030276249,3.3544144879319544e-4,0.03563701456491107,0.01387554740245044,0.2456730768454317,0.04779233934298696,0.05442862100970773,0.15143257991001427,0.06476879121028199,0.17765777097100377,0.06857006549393552,0.01821694928721868,0.01050700184160813,0.14661630105374077
15,Hawaii,2008,1288198,67214,1298,1645,0.49578015180896107,0.5042198481910389,0.2707239104547593,0.02380534669359834,0.00239869957879145,0.3846101298092374,0.09019576183164388,0.01425091484383611,0.2140152367881335,0.2631041205159866,0.0241946014299361,0.05812179426971774,0.16888571736197178,0.09737631235925712,0.19206433567074355,0.06369423833337533,0.02461840498667882,0.01075659243613738,0.09133017399623354
